17,15,90
20,116,90
15,96,90
150,41,90
179,2,90
23,178,90
149,19,90
16,102,90
99,77,90
16,123,90
129,154,130
15,74,130
80,37,130
162,171,120
38,55,110
148,38,150
12,54,150
118,35,140
42,19,140
155,26,130
66,66,110
134,155,110
23,175,110
96,131,110
83,77,100
109,66,130
30,186,130
181,99,130
30,72,130
26,47,130
42,144,150
7,70,150
66,177,150
107,140,150
32,172,150
188,145,170
15,127,170
65,182,160
32,14,160
110,138,140
134,56,110
154,157,110
65,38,110
155,1,110
168,27,110
41,16,100
81,160,100
13,94,100
1,0,100
160,20,100
49,81,130
58,72,130
123,117,130
79,146,130
12,48,130
134,69,130
43,101,130
133,185,130
179,90,130
175,84,130
82,176,120
185,115,120
69,69,120
90,134,120
116,120,120
114,182,130
17,124,130
65,147,130
102,109,130
135,36,130
157,180,120
85,107,120
150,88,120
30,51,120
152,180,120
112,102,160
63,8,140
175,60,140
43,144,140
91,116,140
16,43,110
41,141,110
136,137,110
4,118,110
119,48,110
144,125,120
104,103,120
27,20,120
76,163,120
35,133,120
179,31,150
69,60,150
125,48,150
7,156,150
175,136,150
176,145,170
71,6,170
170,168,170
44,35,170
144,139,170
177,146,160
61,32,160
150,2,160
2,57,150
146,114,130
94,174,150
89,151,150
39,14,150
129,161,150
10,130,150
160,63,90
19,51,90
137,74,90
53,72,90
29,106,90
165,85,100
66,125,100
74,181,100
10,53,100
7,172,100
144,57,110
77,118,110
115,20,110
108,30,110
94,102,110
111,105,120
108,113,120
32,178,120
122,22,120
159,45,120
97,136,120
42,114,120
19,23,110
38,122,110
26,77,110
129,63,120
67,179,120
89,150,120
94,93,120
9,69,120
40,112,120
62,125,120
45,28,120
135,84,120
105,145,120
28,37,110
77,20,110
151,25,110
134,91,110
96,158,110
82,146,120
184,43,120
100,68,110
129,170,110
31,50,110
141,63,110
148,125,110
73,101,110
67,185,110
67,175,110
80,3,150
13,79,150
101,30,150
144,32,150
63,67,150
90,137,130
138,135,130
172,118,130
188,48,130
133,63,130
167,81,100
60,150,100
32,99,100
13,32,100
167,122,100
61,177,100
10,83,100
153,15,100
9,37,100
137,122,100
158,142,110
183,85,110
116,43,110
120,23,110
119,71,110
100,20,120
38,119,120
188,20,110
16,110,110
89,109,110
97,19,140
24,75,140
60,12,140
2,14,140
138,12,140
100,124,140
94,23,140
162,102,130
32,139,130
179,19,130
55,73,140
159,169,140
161,113,140
147,186,140
146,162,140
78,48,140
129,141,140
1,74,140
71,58,130
76,107,130
26,177,130
126,14,130
185,179,130
165,90,130
145,99,130
17,158,140
24,49,150
163,90,150
53,94,150
38,55,150
65,26,120
52,53,120
64,87,120
107,126,120
169,134,120
189,20,130
57,121,130
104,123,130
151,187,120
45,11,120
3,149,130
3,0,130
113,169,130
132,72,130
152,2,130
133,167,130
185,43,130
116,90,130
79,8,130
121,181,130
