132,160,70
142,162,70
109,127,70
30,48,70
78,33,70
155,144,100
138,115,100
18,165,90
47,31,90
5,107,90
118,118,140
47,117,120
4,2,110
151,38,120
56,5,130
89,149,170
177,1,160
110,139,180
151,97,190
79,3,200
174,152,110
15,183,100
76,113,100
102,78,90
108,81,90
188,150,120
42,65,120
126,85,120
37,179,120
80,22,140
96,180,140
47,154,140
31,187,130
171,71,130
9,22,130
69,126,170
72,65,160
35,18,160
163,28,150
73,0,190
15,128,100
33,138,100
98,37,100
45,55,90
172,89,90
70,168,130
170,7,130
31,39,130
186,21,120
142,132,110
120,95,130
0,76,130
20,120,130
93,184,130
69,127,130
9,169,150
18,105,150
17,140,150
71,175,150
47,16,150
2,83,130
168,150,130
44,88,130
150,108,120
189,163,140
117,162,160
121,112,160
71,164,160
2,184,160
84,94,160
104,169,140
18,84,140
112,178,140
136,94,140
21,78,140
42,84,170
98,85,170
51,144,170
106,93,170
4,0,170
186,29,110
40,49,110
126,134,110
116,133,110
87,84,110
123,154,160
64,173,160
141,33,160
43,187,160
104,18,160
186,90,150
20,131,150
28,113,150
104,60,150
153,12,150
49,130,200
145,22,200
104,143,200
168,41,200
158,109,200
54,156,170
117,14,170
118,12,170
158,128,170
130,94,170
19,124,200
49,131,200
155,106,200
0,37,190
133,33,190
163,30,130
75,8,130
96,25,130
67,75,130
114,96,130
12,37,130
189,6,130
149,60,130
174,6,130
144,151,130
32,114,120
40,116,120
64,113,120
4,72,120
32,167,120
115,82,120
15,88,120
119,75,120
137,179,120
105,53,120
82,167,120
40,86,120
148,145,120
27,2,120
2,125,120
7,94,120
11,179,120
50,187,120
147,89,120
119,89,120
21,35,110
97,139,110
140,93,110
130,26,110
91,178,110
106,63,140
131,39,140
75,174,140
104,20,140
159,182,140
171,105,120
31,12,120
17,115,120
89,113,120
108,17,120
102,181,180
189,74,180
8,93,180
137,117,180
147,19,180
85,76,130
143,158,130
129,180,130
89,75,130
7,12,130
153,70,180
106,7,190
141,147,190
163,175,190
76,190,190
66,138,90
164,167,90
76,109,90
60,136,90
160,138,90
31,61,130
114,55,130
44,171,130
42,106,130
42,105,130
126,47,120
51,55,120
27,26,110
50,135,110
128,171,100
172,87,150
87,183,150
47,78,150
48,142,150
147,169,150
59,87,120
139,42,120
1,42,120
118,34,130
89,155,130
51,54,190
159,77,190
163,165,190
36,181,190
137,129,190
95,1,130
158,6,130
17,67,130
32,137,130
77,92,130
33,20,160
13,41,160
19,2,160
11,118,160
160,87,160
149,165,140
63,120,140
41,108,140
28,70,140
121,152,140
174,157,170
164,51,170
170,162,170
32,9,170
48,159,170
155,168,120
141,179,120
98,142,120
142,49,120
135,99,120
143,65,150
68,31,150
21,65,150
80,24,150
78,10,150
0,92,130
28,147,130
70,88,130
159,127,130
184,172,130
92,179,160
111,23,170
156,168,170
33,50,170
145,171,170
