39,40,26,82,64,67,80,27
111,24,106,59,183,72,166,30
94,23,82,60,164,62,150,24
35,145,49,194,100,207,87,161
22,162,35,200,72,214,57,177
165,31,182,75,217,88,204,45
24,141,37,188,80,203,62,153
99,23,88,59,170,64,155,26
57,86,61,166,143,176,147,76
118,22,117,55,187,71,170,30
170,127,147,207,206,188,219,123
76,27,54,91,173,88,151,25
36,77,36,160,120,182,120,55
177,165,157,216,206,199,221,149
58,43,40,107,134,95,126,31
33,142,55,210,130,221,143,161
63,29,40,105,168,98,144,22
30,113,45,191,124,207,130,103
35,54,23,129,94,144,107,33
28,147,47,205,110,220,102,170
58,58,47,140,151,151,140,47
170,135,149,204,202,186,215,128
163,30,183,87,221,98,208,47
130,70,128,185,199,165,202,90
62,69,58,156,154,164,150,61
47,100,62,190,151,197,167,94
173,36,194,111,230,114,219,56
88,188,100,227,164,223,183,177
72,34,50,110,175,109,152,31
55,38,36,108,142,96,129,26
139,34,154,151,220,134,209,57
75,24,50,97,181,95,156,23
175,56,180,167,228,149,226,78
148,86,135,204,207,182,218,104
163,34,185,129,229,125,219,56
143,193,133,237,197,222,218,167
121,22,125,125,218,121,201,41
179,57,183,170,231,151,230,79
35,49,22,131,109,149,115,28
146,90,133,203,204,182,215,106
40,130,58,195,127,206,136,141
166,162,148,213,199,197,214,145
40,65,32,136,98,152,106,46
18,144,32,194,78,210,58,158
31,158,48,206,101,219,89,179
34,54,22,107,62,99,81,37
164,63,170,157,213,143,211,81
93,23,78,64,169,66,153,24
35,36,21,77,60,61,76,22
26,150,41,198,89,212,72,167
75,43,57,137,182,137,164,43
65,51,52,146,172,151,158,46
100,115,111,207,188,193,204,117
148,58,149,178,213,155,212,80
59,31,38,93,140,75,129,21
48,131,70,205,149,209,172,134
95,35,75,131,196,127,178,44
193,129,172,203,218,184,230,125
78,184,93,226,158,224,177,178
71,179,88,224,155,223,173,177
179,69,180,166,222,150,222,86
107,193,112,228,171,221,189,178
59,59,51,151,160,160,151,51
134,64,132,184,203,163,206,86
108,98,114,201,189,185,202,110
191,106,174,193,221,173,229,111
119,22,118,80,206,100,187,36
146,48,154,164,215,144,210,70
91,79,101,195,188,181,198,94
30,130,48,198,119,212,118,144
185,158,164,212,211,195,225,144
94,62,94,179,189,165,190,76
67,156,87,213,158,211,179,153
57,39,38,105,138,92,127,28
186,152,165,210,212,193,225,140
78,96,97,209,188,196,205,106
26,70,21,146,85,168,92,46
51,172,73,223,141,227,156,182
139,35,156,143,218,130,207,56
105,65,109,193,197,174,203,86
55,34,37,86,110,66,114,22
136,33,153,103,209,112,195,50
145,143,132,207,192,191,207,130
114,18,110,56,192,73,173,26
36,113,49,184,118,199,118,105
120,158,119,213,185,201,204,139
82,84,94,192,181,182,191,94
39,45,24,105,79,91,98,28
166,60,171,164,218,147,216,80
127,30,139,101,209,112,193,46
35,168,57,221,124,231,127,189
53,62,50,167,164,175,161,54
36,120,56,201,141,212,163,120
145,21,169,91,224,105,207,40
134,186,127,230,191,216,212,161
145,185,133,233,199,217,220,158
23,76,24,166,111,192,111,49
171,174,150,230,210,211,229,151
44,51,33,149,153,167,142,36
146,155,131,224,202,205,222,135
146,186,134,232,197,216,218,160
38,63,33,158,138,180,135,44
18,140,38,206,106,224,91,162
67,24,43,94,168,85,146,19
99,159,110,216,180,206,201,142
181,81,170,190,224,168,229,97
157,68,149,193,216,168,220,91
34,53,22,132,97,149,108,32
176,126,151,211,212,190,226,123
124,20,131,88,214,106,195,36
49,159,66,204,121,213,123,175
59,33,43,76,105,58,110,23
52,136,69,194,134,201,147,145
66,47,50,109,145,102,132,39
101,28,90,70,178,78,160,32
69,171,85,214,145,215,160,173
120,46,120,146,199,132,188,61
181,64,189,143,222,135,218,79
63,29,45,73,117,55,118,20
158,23,174,64,215,80,201,37
42,141,61,201,127,211,136,157
110,53,108,168,195,150,191,70
24,110,32,174,87,193,70,103
28,103,36,171,97,191,85,88
84,72,89,180,180,171,184,82
82,94,97,196,180,186,194,103
96,86,106,196,187,182,198,101
167,35,188,105,225,111,214,54
24,117,36,183,98,202,78,114
38,154,58,208,121,219,123,175
139,72,134,189,203,168,208,93
108,33,94,118,200,118,183,45
43,40,27,92,80,74,96,25
116,31,113,94,200,107,183,44
77,31,56,89,164,84,145,28
44,124,63,197,140,206,159,128
177,58,186,149,225,138,221,76
156,68,153,180,211,159,213,88
74,75,80,182,176,177,182,81
74,25,53,79,158,70,142,21
106,32,90,113,199,116,181,44
120,43,120,158,204,139,195,62
39,53,27,121,87,125,104,35
59,134,81,205,158,205,180,134
155,85,143,193,206,172,213,101
49,41,32,99,97,80,108,27
28,78,25,145,76,162,82,58
27,143,43,197,98,212,82,161
65,134,86,203,160,201,181,133
167,78,161,179,212,159,215,94
149,60,150,175,211,154,210,82
43,175,62,219,119,227,120,193
50,89,58,175,144,185,152,78
183,125,164,198,211,180,221,123
56,40,38,100,122,82,120,28
45,139,65,201,133,209,147,151
120,163,119,213,182,201,200,144
89,53,81,159,185,150,177,62
182,59,192,141,225,133,221,76
174,56,185,143,222,134,217,74
21,83,23,163,92,188,90,58
81,25,55,103,189,104,164,27
29,97,40,183,125,202,129,75
29,138,51,207,125,220,134,157
60,56,53,163,173,168,166,51
139,65,135,188,207,166,210,88
141,147,129,213,195,197,212,132
110,185,114,226,177,216,198,165
47,179,66,223,127,230,133,195
44,129,66,203,144,209,166,134
66,171,82,214,142,216,155,177
148,45,165,129,211,124,202,63
95,30,78,83,179,88,160,34
49,35,33,80,88,61,99,22
115,181,117,218,173,209,191,164
174,53,188,128,221,124,214,70
84,23,68,64,157,60,143,21
23,144,37,193,83,208,65,158
53,32,36,76,95,57,104,20
113,148,116,205,180,194,197,133
146,171,134,216,190,202,207,151
74,185,89,223,147,223,161,186
34,110,45,180,113,197,106,99
25,115,35,178,91,197,73,111
49,112,65,190,144,197,162,109
25,97,30,168,92,189,82,79
113,31,105,108,202,114,185,44
32,172,48,213,97,226,86,192
106,22,96,67,189,82,170,29
95,65,97,178,187,164,188,79
25,94,32,174,106,196,99,72
75,31,52,110,182,110,159,30
28,67,22,144,89,166,97,44
42,33,23,94,92,72,105,17
21,131,38,197,102,215,84,145
118,74,118,199,199,179,208,96
27,91,33,173,110,195,106,68
86,173,101,221,169,215,191,160
133,29,151,109,214,115,199,47
29,165,48,214,106,227,97,188
67,48,54,150,177,152,164,46
176,163,154,220,208,202,225,145
101,175,110,224,179,214,201,155
192,146,168,212,217,193,231,135
173,150,150,216,208,197,223,136
43,73,43,166,143,183,143,56
154,128,134,211,201,193,217,123
79,21,56,82,176,80,154,20
51,64,46,157,151,171,146,52
96,54,94,176,193,161,191,69
165,32,188,105,227,111,215,52
21,120,35,187,97,207,76,122
176,183,158,226,206,210,223,163
74,172,92,221,160,218,181,166
77,153,97,215,170,208,193,143
148,25,172,98,223,108,208,44
57,36,36,118,164,118,142,27
73,170,93,225,167,220,190,161
86,42,74,161,195,150,184,52
58,43,40,134,169,141,149,34
34,68,27,140,90,159,99,47
53,52,39,130,142,140,131,38
77,51,65,150,180,148,168,53
122,82,121,196,195,178,205,101
132,182,127,222,185,210,204,160
32,173,51,218,107,230,100,195
115,41,112,159,205,140,195,58
116,78,117,197,196,179,206,98
191,150,170,208,215,191,227,139
31,57,20,121,66,123,87,38
139,18,155,69,215,90,197,34
35,37,18,92,69,73,89,20
182,103,164,196,216,175,224,110
50,129,72,204,152,208,175,131
18,142,34,199,90,216,69,159
181,131,158,207,211,187,224,126
43,175,63,221,124,230,127,193
64,105,84,200,170,195,189,108
23,81,22,154,81,176,82,60
191,115,171,198,219,178,228,116
